,0
/en/library/transcripts/660919bg-new-york/,"[['[Bg 6.40]', '[Bg 6.41]', '[Bg 6.42]', '[Bg 6.43]', '[Bg 6.43]', '[Bg 4.9]', '[Bg 13.9]', '[Bg 6.43]', '[Bg 6.44]', '[Bg 15.15]', '[SB 1.8.26]', '[SB 1.5.17]', '[SB 1.5.17]', '[SB 10.14.58]']]"
/en/library/transcripts/661003bg-new-york/,"[['[Bg 7.8]', '[Bg 15.6]', '[Bg 7.8]', '[Bg 7.9]', '[Bg 7.10]', '[Bg 7.10]', '[Bg 7.11]', '[Bg 7.12]', '[Bg 7.12]', '[Bg 7.13]', '[Bg 4.13]', '[Bg 14.4]', '[Bg 7.13]', '[Bg 7.14]', '[SB 7.5.23]', '[SB 1.2.17]', '[SB 10.14.3]', '[SB 10.14.3]', '[SB 10.14.3]', '[SB 1.1.1]']]"
/en/library/transcripts/661005bg-new-york/,"[['[Bg 7.11]', '[Bg 7.12]', '[Bg 7.13]', '[Bg 7.16]', '[Bg 7.13]', '[Bg 7.14]', '[Bg 18.66]', '[Bg 13.9]', '[Bg 7.15]', '[Bg 16.6]', '[Bg 7.16]', '[SB 10.14.58]', '[SB 1.1.1]']]"
/en/library/transcripts/661007bg-new-york/,"[['[Bg 7.15]', '[Bg 7.16]', '[Bg 7.17]', '[Bg 4.7]', '[Bg 7.18]', '[Bg 6.22]', '[Bg 7.18]', '[SB 2.9.31]']]"
/en/library/transcripts/661010bg-new-york/,"[['[Bg 7.18]', '[Bg 7.19]', '[Bg 9.25]', '[Bg 18.61]', '[Bg 10.8]', '[Bg 7.20]', '[Bg 9.10]', '[SB 1.2.11]', '[SB 1.1.1]', '[SB 5.18.12]']]"
/en/library/transcripts/661021bg-new-york/,"[['[Bg 7.28]', '[Bg 7.29]', '[Bg 7.29]', '[Bg 7.30]', '[Bg 8.1]', '[Bg 2.20]', '[Bg 8.3]', '[Bg 8.4]', '[Bg 8.5]', '[Bg 8.6]']]"
/en/library/transcripts/661026bg-new-york/,"[['[Bg 8.12]', '[Bg 8.10]', '[Bg 2.20]', '[Bg 8.13]', '[Bg 7.23]', '[Bg 13.9]', '[Bg 8.14]', '[SB 10.2.32]', '[SB 1.1.1]']]"
/en/library/transcripts/661028bg-new-york/,"[['[Bg 8.14]', '[Bg 8.14]', '[Bg 8.15]', '[Bg 8.15]', '[SB 10.2.32]', '[SB 10.14.3]']]"
/en/library/transcripts/661031bg-new-york/,"[['[Bg 8.15]', '[Bg 8.16]', '[Bg 8.16]', '[Bg 8.17]', '[Bg 8.17]', '[Bg 8.17]', '[Bg 8.18]', '[Bg 8.19]', '[Bg 8.20]', '[Bg 10.42]', '[Bg 8.20]', '[SB 7.5.31]']]"
/en/library/transcripts/661104bg-new-york/,"[['[Bg 8.21]', '[Bg 2.17]', '[Bg 8.16]', '[Bg 18.54]', '[Bg 2.59]', '[Bg 2.59]', '[Bg 8.22]', '[SB 11.2.42]']]"
/en/library/transcripts/661105bs-new-york/,"[['[Bg 9.26]', '[Bg 9.26]', '[Bg 9.10]']]"
/en/library/transcripts/661107bg-new-york/,"[['[Bg 8.22]', '[Bg 8.23]', '[Bg 8.6]', '[Bg 8.24]', '[Bg 8.25]', '[Bg 8.26]', '[Bg 8.27]', '[Bg 8.27]', '[Bg 8.15]', '[SB 10.14.58]']]"
/en/library/transcripts/661109bg-new-york/,"[['[Bg 8.28]', '[Bg 8.28]', '[Bg 5.29]', '[Bg 9.1]', '[Bg 9.2]', '[Bg 7.19]', '[Bg 9.2]', '[Bg 2.22]']]"
/en/library/transcripts/661111bg-new-york/,"[['[Bg 9.2]', '[Bg 18.54]', '[SB 1.1.10]']]"
/en/library/transcripts/661114gp-new-york/,"[['[Bg 18.44]', '[Bg 18.44]', '[Bg 7.20]', '[Bg 18.46]', '[SB 10.24.1]', '[SB 10.24.1]', '[SB 10.24.2]', '[SB 10.24.3]', '[SB 10.24.4]', '[SB 10.24.4]', '[SB 10.24.5]', '[SB 10.24.6]', '[SB 10.24.7]', '[SB 10.24.8]', '[SB 10.24.9]', '[SB 10.24.10]', '[SB 10.24.11]', '[SB 10.24.13]', '[SB 1.8.26]', '[SB 10.24.14]', '[SB 10.24.15]', '[SB 10.24.16]', '[SB 10.24.17]', '[SB 10.24.18]', '[SB 10.24.19]', '[SB 10.24.20]', '[SB 10.24.21]', '[SB 10.24.22]', '[SB 10.24.23]', '[SB 10.24.23]', '[SB 10.24.24]']]"
/en/library/transcripts/661116bg-new-york/,"[['[Bg 9.2]', '[Bg 9.2]', '[Bg 7.14]', '[Bg 9.3]', '[Bg 9.3]', '[Bg 3.27]', '[Bg 9.3]', '[Bg 9.2]', '[Bg 9.4]', '[Bg 9.4]', '[Bg 9.4]', '[Bg 4.1]', '[SB 7.5.23]', '[SB 6.3.19]']]"
/en/library/transcripts/661118bg-new-york/,"[['[Bg 9.4]', '[Bg 9.10]', '[Bg 9.5]', '[Bg 9.4]', '[Bg 9.5]', '[Bg 9.6]', '[Bg 9.7]', '[Bg 8.17]']]"
/en/library/transcripts/661121bg-new-york/,"[['[Bg 9.7]', '[Bg 9.7]', '[Bg 8.19]', '[Bg 9.8]', '[Bg 9.9]', '[Bg 9.10]', '[Bg 8.20]']]"
/en/library/transcripts/661123bg-new-york/,"[['[Bg 9.11]', '[Bg 9.11]', '[Bg 9.11]', '[Bg 9.12]', '[Bg 9.12]', '[Bg 9.12]', '[Bg 18.66]', '[Bg 10.10]', '[Bg 9.13]', '[Bg 9.13]', '[Bg 9.14]', '[SB 7.5.31]', '[SB 10.14.3]']]"
/en/library/transcripts/661125bg-new-york/,"[['[Bg 9.13]', '[SB 1.1.1]', '[SB 11.9.29]', '[SB 5.5.1]']]"
/en/library/transcripts/661128bg-new-york/,"[['[Bg 9.14]', '[Bg 2.20]', '[Bg 9.15]', '[Bg 7.16]', '[Bg 7.15]', '[Bg 7.19]', '[Bg 9.15]', '[Bg 7.19]', '[Bg 9.13]', '[Bg 7.19]', '[SB 7.5.23]', '[SB 12.3.51]']]"
/en/library/transcripts/661128cc-new-york/,"[['[Bg 18.55]', '[Bg 7.3]', '[Bg 7.3]', '[Bg 18.55]', '[Bg 18.55]', '[Bg 18.66]', '[Bg 18.66]', '[Bg 5.18]']]"
/en/library/transcripts/661129cc-new-york/,"[['[Bg 9.11]', '[Bg 2.13]', '[Bg 2.11]', '[Bg 2.13]', '[SB 11.3.21]', '[SB 11.3.21]']]"
/en/library/transcripts/661130cc-new-york/,"[['[Bg 7.14]', '[Bg 7.5]']]"
/en/library/transcripts/661130bg-new-york/,"[['[Bg 9.15]', '[Bg 9.14]', '[Bg 4.2]', '[SB 7.5.23]', '[SB 11.5.33]', '[SB 7.5.23]', '[SB 12.3.51]']]"
/en/library/transcripts/661201cc-new-york/,"[['[Bg 18.66]', '[Bg 10.10]', '[Bg 18.66]', '[Bg 3.8]', '[SB 10.88.8]']]"
/en/library/transcripts/661202cc-new-york/,"[['[Bg 10.10]', '[Bg 7.14]', '[SB 7.5.5]']]"
/en/library/transcripts/661202bg-new-york/,"[['[Bg 9.15]', '[Bg 9.15]', '[Bg 7.5]', '[Bg 9.4]', '[Bg 9.5]', '[Bg 7.7]', '[Bg 7.19]', '[Bg 18.55]', '[Bg 7.19]', '[Bg 9.16]', '[Bg 9.17]', '[Bg 4.11]', '[Bg 18.55]', '[Bg 9.18]', '[Bg 7.19]']]"
/en/library/transcripts/661203cc-new-york/,"[['[Bg 7.14]', '[Bg 7.14]', '[Bg 4.7]', '[Bg 10.10]', '[Bg 15.15]', '[Bg 15.15]']]"
/en/library/transcripts/661204cc-new-york/,"[['[Bg 7.15]', '[Bg 7.14]', '[Bg 7.19]', '[SB 1.1.1]', '[SB 5.18.12]', '[SB 5.18.12]', '[SB 4.8.41, Cc. Ādi 1.90]', '[SB 4.8.41]']]"
/en/library/transcripts/661205cc-new-york/,"[['[Bg 9.31]', '[Bg 8.15]', '[Bg 7.15]', '[Bg 2.42]', '[Bg 18.55]', '[Bg 18.66]']]"
/en/library/transcripts/661206cc-new-york/,"[['[Bg 2.70]', '[Bg 7.19]']]"
/en/library/transcripts/661207cc-new-york/,"[['[Bg 18.55]', '[Bg 7.19]']]"
/en/library/transcripts/661207bg-new-york/,"[['[Bg 9.20]', '[Bg 9.14]', '[Bg 9.20]', '[Bg 9.25]', '[Bg 15.6]', '[Bg 9.21]', '[Bg 15.6]', '[Bg 7.14]', '[Bg 15.6]', '[Bg 9.22]', '[SB 7.5.31]']]"
/en/library/transcripts/661208cc-new-york/,"[['[Bg 6.22]', '[Bg 6.22]', '[Bg 6.22]', '[Bg 7.28]', '[Bg 7.28]', '[Bg 7.28]', '[SB 2.10.6]']]"
